"run","experiment","metric_AUC","AUC_val","AUC_train","nr_params","avg_epoch_time","nr_flops","training_time_min","date","duration","model_config.train_data_file","tags","train_loss","val_loss","model_config.batch_size","model_config.dim_embedding_tissue","model_config.dim_embedding_token","model_config.dropout","model_config.epochs","model_config.gpu_id","model_config.hidden_size","model_config.model","model_config.num_workers","model_config.optimizer.lr","model_config.optimizer.name","model_config.save_freq","model_config.seed","model_config.val_freq","model_config.warmup","hash","checkpoint_stored","early_stopping","training_successful","model_config.binary_class","model_config.dev","model_config.early_stopper_delta","model_config.early_stopper_patience","model_config.frequency_features","model_config.optimizer.weight_decay","model_config.tissue_id","val_neg_auc","model_config.activation","model_config.bias","model_config.bidirectional","model_config.block_sizes","model_config.bn_momentum","model_config.conv1d_kernel_size","model_config.d_conv","model_config.d_state","model_config.dim_feedforward","model_config.expand","model_config.filter_len_conv1","model_config.filter_len_conv2","model_config.filter_per_group","model_config.final_ch","model_config.headdim","model_config.kernel_size","model_config.max_pool1","model_config.max_pool2","model_config.num_blocks","model_config.num_filters_conv1","model_config.num_filters_conv2","model_config.num_heads","model_config.num_layers","model_config.optimizer.momentum","model_config.padding","model_config.predictor_dropout","model_config.predictor_hidden_dim","model_config.resize_factor","model_config.rnn_hidden_size","model_config.se_reduction","model_config.slstm_at","model_config.stride_conv1","model_config.stride_conv2","train_neg_auc","best_epoch","R2_train","R2_val","model_config.kernel_size_conv1","model_config.kernel_size_conv2","model_config.m_qkv_proj_blocksize","model_config.num_kernels_conv1","model_config.num_kernels_conv2","model_config.optuna.n_startup_trials","model_config.optuna.n_trials","model_config.optuna.storage","model_config.optuna.study_name","model_config.optuna.timeout","model_config.param_tune","model_config.random_reverse","model_config.s_act_fn","model_config.s_proj_factor","model_config.val_fraction"
"Run: 36c654e004a045d4ab68ea97","binary/cnn/7_cnn_fold-2","-","0.68684176","0.71735662","111537","0.04166316","29872","0.7916","12:07:13 · 06 Dec, 24","1min 53sec","""codon_train_2.7k_data.pkl""","","0.58535536","0.67173849","64","64","64","""-""","200","1","""-""","""cnn""","1","0.001","""adam""","1","2024","1","0","36c654e004a045d4ab68ea97","1","1","1","True","False","0.01","5","False","""-""","-1","-0.65823157","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","20","5","""-""","""-""","""-""","""-""","""-""","""-""","""same""","0.1","64","""-""","""-""","""-""","""-""","1","1","-0.75106745","19","-","-","15","15","""-""","64","16","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_3""","86400","""-""","True","""-""","""-""","0.15"
"Run: 19a98fb1c21142b9ab7ea07e","binary/cnn/7_cnn_fold-1","-","0.67195748","0.70966446","111537","0.04143529","29872","0.7044","12:05:17 · 06 Dec, 24","1min 56sec","""codon_train_2.7k_data.pkl""","","0.56432752","0.7009487","64","64","64","""-""","200","1","""-""","""cnn""","1","0.001","""adam""","1","2024","1","0","19a98fb1c21142b9ab7ea07e","1","1","1","True","False","0.01","5","False","""-""","-1","-0.6553158","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","20","5","""-""","""-""","""-""","""-""","""-""","""-""","""same""","0.1","64","""-""","""-""","""-""","""-""","1","1","-0.77098416","17","-","-","15","15","""-""","64","16","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_3""","86400","""-""","True","""-""","""-""","0.15"
"Run: 4459936feaf043ad90323e0a","binary/cnn/7_cnn_fold-0","-","0.67930897","0.69952241","111537","0.04389167","29872","0.5267","12:03:35 · 06 Dec, 24","1min 41sec","""codon_train_2.7k_data.pkl""","","0.58358848","0.68040273","64","64","64","""-""","200","1","""-""","""cnn""","1","0.001","""adam""","1","2024","1","0","4459936feaf043ad90323e0a","1","1","1","True","False","0.01","5","False","""-""","-1","-0.64792358","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","20","5","""-""","""-""","""-""","""-""","""-""","""-""","""same""","0.1","64","""-""","""-""","""-""","""-""","1","1","-0.7585346","12","-","-","15","15","""-""","64","16","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_3""","86400","""-""","True","""-""","""-""","0.15"
"Run: ef47d5bcbfb24901a3ab7def","binary/xlstm/3_xlstm_fold-2","-","0.67084799","0.70649149","90177","1.2568275","3392570704","100.5462","19:09:48 · 05 Dec, 24","1hrs 50min","""codon_train_2.7k_data.pkl""","[object Object]","0.61701249","0.67099394","64","32","32","0.5","100","0","""-""","""xlstm""","1","0.0001","""adam""","1","2024","1","0","ef47d5bcbfb24901a3ab7def","1","1","1","True","False","0.01","5","False","""-""","-1","-0.6604237","""-""","True","""-""","""-""","""-""","4","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","9","""-""","""-""","2","""-""","""-""","""-""","0.1","64","""-""","""-""","""-""","[1]","""-""","""-""","-0.72005004","80","-","-","""-""","""-""","8","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""gelu""","2","0.15"
"Run: 058bccaa0eb24e979319cd83","binary/xlstm/3_xlstm_fold-1","-","0.66737519","0.70079286","90177","1.25717273","3392570704","69.1445","17:41:04 · 05 Dec, 24","1hrs 28min","""codon_train_2.7k_data.pkl""","[object Object]","0.62310064","0.67270969","64","32","32","0.5","100","0","""-""","""xlstm""","1","0.0001","""adam""","1","2024","1","0","058bccaa0eb24e979319cd83","1","1","1","True","False","0.01","5","False","""-""","-1","-0.65229861","""-""","True","""-""","""-""","""-""","4","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","9","""-""","""-""","2","""-""","""-""","""-""","0.1","64","""-""","""-""","""-""","[1]","""-""","""-""","-0.71079698","55","-","-","""-""","""-""","8","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""gelu""","2","0.15"
"Run: 6e0b49d07d944fb689e417d3","binary/xlstm/3_xlstm_fold-0","-","0.67196134","0.71099983","90177","1.25055765","3392570704","106.2974","15:35:01 · 05 Dec, 24","2hrs 6min","""codon_train_2.7k_data.pkl""","[object Object]","0.60956373","0.66759118","64","32","32","0.5","100","0","""-""","""xlstm""","1","0.0001","""adam""","1","2024","1","0","6e0b49d07d944fb689e417d3","1","-","1","True","False","0.01","5","False","""-""","-1","-0.66374799","""-""","True","""-""","""-""","""-""","4","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","9","""-""","""-""","2","""-""","""-""","""-""","0.1","64","""-""","""-""","""-""","[1]","""-""","""-""","-0.72981775","85","-","-","""-""","""-""","8","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""gelu""","2","0.15"
"Run: 454ebe7891c144fe9ce2ac1c","binary/LEGnet/7_LEGnet_fold-2","-","0.68805667","0.69817799","3364685","0.31950588","136815770","16.2948","15:07:13 · 05 Dec, 24","27min 35sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61851793","0.65149981","64","64","64","""-""","100","0","""-""","""LEGnet""","1","0.001","""adam""","1","2024","1","0","454ebe7891c144fe9ce2ac1c","1","1","1","True","False","0.01","5","False","""-""","-1","-0.6720258","""gelu""","""-""","""-""","[256, 256, 128, 128, 64, 64, 32, 32]","0.1","""-""","""-""","""-""","""-""","""-""","""-""","""-""","1","18","""-""","9","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.1","64","2","""-""","4","""-""","""-""","""-""","-0.71737183","51","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 18453acb08f748228906e895","binary/transformer/2_transformer_fold-2","-","0.67137791","0.69352899","610305","0.29626923","1614129280","11.5545","15:03:06 · 05 Dec, 24","20min 52sec","""codon_train_2.7k_data.pkl""","[object Object]","0.59008733","0.67330985","64","64","64","0.2","100","1","""-""","""transformer""","1","0.0001","""adam""","1","2024","1","0","18453acb08f748228906e895","1","1","1","True","False","0.01","5","False","0.1","-1","-0.66079085","""gelu""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","256","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","12","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-0.74983348","39","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 78538a2dcdd9432d83a33faa","binary/LEGnet/7_LEGnet_fold-1","-","0.68132309","0.70575442","3364685","0.32006486","136815770","11.8424","14:52:42 · 05 Dec, 24","14min 30sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61930202","0.64989146","64","64","64","""-""","100","0","""-""","""LEGnet""","1","0.001","""adam""","1","2024","1","0","78538a2dcdd9432d83a33faa","1","1","1","True","False","0.01","5","False","""-""","-1","-0.67017101","""gelu""","""-""","""-""","[256, 256, 128, 128, 64, 64, 32, 32]","0.1","""-""","""-""","""-""","""-""","""-""","""-""","""-""","1","18","""-""","9","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.1","64","2","""-""","4","""-""","""-""","""-""","-0.71358346","37","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: d512ad49dd824633b94ba7ee","binary/transformer/2_transformer_fold-1","-","0.67145252","0.69118834","610305","0.29447826","1614129280","6.773","14:50:17 · 05 Dec, 24","12min 47sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61499405","0.66579504","64","64","64","0.2","100","1","""-""","""transformer""","1","0.0001","""adam""","1","2024","1","0","d512ad49dd824633b94ba7ee","1","1","1","True","False","0.01","5","False","0.1","-1","-0.65660508","""gelu""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","256","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","12","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-0.72095272","23","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 55d561f4d31540a986a75ae0","binary/transformer/2_transformer_fold-0","-","0.67702568","0.69671481","610305","0.29079259","1614129280","7.8514","14:36:25 · 05 Dec, 24","13min 52sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61067552","0.66189061","64","64","64","0.2","100","1","""-""","""transformer""","1","0.0001","""adam""","1","2024","1","0","55d561f4d31540a986a75ae0","1","1","1","True","False","0.01","5","False","0.1","-1","-0.66440408","""gelu""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","256","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","12","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-0.72641678","27","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: f97b0f0d0f594cf5a86f8756","binary/LEGnet/7_LEGnet_fold-0","-","0.69165645","0.70046164","3364685","0.31396818","136815770","20.7219","14:22:22 · 05 Dec, 24","30min 19sec","""codon_train_2.7k_data.pkl""","[object Object]","0.6150528","0.65388223","64","64","64","""-""","100","0","""-""","""LEGnet""","1","0.001","""adam""","1","2024","1","0","f97b0f0d0f594cf5a86f8756","1","1","1","True","False","0.01","5","False","""-""","-1","-0.67525983","""gelu""","""-""","""-""","[256, 256, 128, 128, 64, 64, 32, 32]","0.1","""-""","""-""","""-""","""-""","""-""","""-""","""-""","1","18","""-""","9","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.1","64","2","""-""","4","""-""","""-""","""-""","-0.72216053","66","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 2018b569534f4286a5a7c613","binary/gru/20_gru_fold-2","-","0.67864116","0.70784217","11298817","0.47124364","70720","25.9184","14:07:02 · 05 Dec, 24","29min 11sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61601943","0.65433688","64","64","64","0","100","1","""-""","""gru""","1","0.0001","""adam""","1","2024","1","0","2018b569534f4286a5a7c613","1","1","1","True","False","0.01","5","False","0.1","-1","-0.66839287","""-""","""-""","True","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","3","""-""","""-""","0.1","64","""-""","512","""-""","""-""","""-""","""-""","-0.71743625","55","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 4e74fcdf5631465b807bfad9","binary/lstm/2_lstm_fold-2","-","0.6578909","0.68750474","616961","0.29464222","17728","13.2589","14:02:46 · 05 Dec, 24","19min 22sec","""codon_train_2.7k_data.pkl""","[object Object]","0.62999009","0.66704899","64","64","64","0","100","0","""-""","""lstm""","1","0.0001","""adam""","1","2024","1","0","4e74fcdf5631465b807bfad9","1","1","1","True","False","0.01","5","False","0.1","-1","-0.64695065","""-""","""-""","True","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","128","""-""","""-""","""-""","""-""","-0.69835826","45","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 37cd5ea8fd0d491da17ebf2b","binary/gru/20_gru_fold-1","-","0.66894103","0.6877723","11298817","0.47265517","70720","13.707","13:45:37 · 05 Dec, 24","21min 24sec","""codon_train_2.7k_data.pkl""","[object Object]","0.62154077","0.66116994","64","64","64","0","100","1","""-""","""gru""","1","0.0001","""adam""","1","2024","1","0","37cd5ea8fd0d491da17ebf2b","1","1","1","True","False","0.01","5","False","0.1","-1","-0.65071272","""-""","""-""","True","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","3","""-""","""-""","0.1","64","""-""","512","""-""","""-""","""-""","""-""","-0.71151658","29","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 8139029403a344ad8158653f","binary/lstm/2_lstm_fold-1","-","0.65511757","0.67069611","616961","0.29743019","17728","15.7638","13:43:35 · 05 Dec, 24","19min 10sec","""codon_train_2.7k_data.pkl""","[object Object]","0.63845243","0.66744184","64","64","64","0","100","0","""-""","""lstm""","1","0.0001","""adam""","1","2024","1","0","8139029403a344ad8158653f","1","1","1","True","False","0.01","5","False","0.1","-1","-0.63620494","""-""","""-""","True","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","128","""-""","""-""","""-""","""-""","-0.68504258","53","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 51d60523b6f3462f82a1fdcb","binary/lstm/2_lstm_fold-0","-","0.66030864","0.68196156","616961","0.286192","17728","14.3096","13:24:26 · 05 Dec, 24","19min 7sec","""codon_train_2.7k_data.pkl""","[object Object]","0.6310591","0.66733899","64","64","64","0","100","0","""-""","""lstm""","1","0.0001","""adam""","1","2024","1","0","51d60523b6f3462f82a1fdcb","1","1","1","True","False","0.01","5","False","0.1","-1","-0.64818978","""-""","""-""","True","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","""-""","""-""","0.1","64","""-""","128","""-""","""-""","""-""","""-""","-0.69681966","50","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 9e186526b68a42e9a0e4a1f7","binary/mamba/10_mamba_fold-2","-","0.67772212","0.70164373","6017","0.020825","2765968","0.4998","13:22:45 · 05 Dec, 24","1min 29sec","""codon_train_2.7k_data.pkl""","[object Object]","0.62062844","0.65569588","64","16","16","""-""","100","0","""-""","""mamba""","0","0.01","""adam""","1","2024","1","0","9e186526b68a42e9a0e4a1f7","1","1","1","True","False","0.01","5","False","""-""","-1","-0.66144426","""-""","""-""","""-""","""-""","""-""","""-""","3","16","""-""","2","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","1","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-0.7140234","24","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 190af27ad297486d843b8d77","binary/mamba/10_mamba_fold-1","-","0.66873503","0.68751514","6017","0.01977895","2765968","0.3758","13:21:18 · 05 Dec, 24","1min 26sec","""codon_train_2.7k_data.pkl""","[object Object]","0.62921919","0.65876234","64","16","16","""-""","100","0","""-""","""mamba""","0","0.01","""adam""","1","2024","1","0","190af27ad297486d843b8d77","1","1","1","True","False","0.01","5","False","""-""","-1","-0.64906796","""-""","""-""","""-""","""-""","""-""","""-""","3","16","""-""","2","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","1","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-0.69920599","19","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 3ea0b8661e5e48ee8461c1bd","binary/gru/20_gru_fold-0","-","0.67410515","0.69054393","11298817","0.495335","70720","19.8134","13:19:23 · 05 Dec, 24","26min 13sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61109513","0.66166401","64","64","64","0","100","1","""-""","""gru""","1","0.0001","""adam""","1","2024","1","0","3ea0b8661e5e48ee8461c1bd","1","1","1","True","False","0.01","5","False","0.1","-1","-0.65730603","""-""","""-""","True","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","3","""-""","""-""","0.1","64","""-""","512","""-""","""-""","""-""","""-""","-0.72502993","40","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
